year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party,writein,candidatevotes,totalvotes,version
1984,Alabama,AL,1,63,41,US House,5,gen,FALSE,D. M. (Sam) Samsil,libertarian,FALSE,6033,146575,20171005
1984,Alabama,AL,1,63,41,US House,5,gen,FALSE,Ronnie G. Flippo,democrat,FALSE,140542,146575,20171005
1984,Alabama,AL,1,63,41,US House,2,gen,FALSE,Frank Tipler III,libertarian,FALSE,2156,195815,20171005
1992,Alabama,AL,1,63,41,US House,2,gen,FALSE,Terry Everett,republican,FALSE,112906,228160,20171005
2014,Alabama,AL,1,63,41,US House,5,gen,FALSE,Mark Bray,democrat,FALSE,39005,154974,20171005
1986,Alabama,AL,1,63,41,US House,6,gen,FALSE,L. Morgan William,republican,FALSE,51924,191976,20171005
1994,Alabama,AL,1,63,41,US House,1,gen,FALSE,Don Womack,democrat,FALSE,50227,153767,20171005
1994,Alabama,AL,1,63,41,US House,1,gen,FALSE,,,TRUE,109,153767,20171005
1992,Alabama,AL,1,63,41,US House,6,gen,FALSE,Mark Bodenhausen,libertarian,FALSE,2836,280139,20171005
1994,Alabama,AL,1,63,41,US House,2,gen,FALSE,,,TRUE,54,169213,20171005
1996,Alabama,AL,1,63,41,US House,6,gen,FALSE,T. Franklin Harris,libertarian,FALSE,2293,254859,20171005
1994,Alabama,AL,1,63,41,US House,3,gen,FALSE,Ben Hand,republican,FALSE,53757,147745,20171005
1982,Alabama,AL,1,63,41,US House,7,gen,FALSE,Richard C. Shelby,democrat,FALSE,124070,128139,20171005
2006,Alabama,AL,1,63,41,US House,3,gen,FALSE,Mark Edwin Layfield,independent,FALSE,3414,165301,20171005
1994,Alabama,AL,1,63,41,US House,7,gen,FALSE,Earl F. Hilliard,democrat,FALSE,116150,151117,20171005
1988,Alabama,AL,1,63,41,US House,7,gen,FALSE,"James E. \Jim\"" Bacon""",republican,FALSE,63372,200966,20171005
2008,Alabama,AL,1,63,41,US House,5,gen,FALSE,Parker Griffith,democrat,FALSE,158324,307282,20171005
2014,Alabama,AL,1,63,41,US House,2,gen,FALSE,Martha Roby,republican,FALSE,113103,167952,20171005
1976,Alabama,AL,1,63,41,US House,7,gen,FALSE,,,TRUE,5,110501,20171005
1996,Alabama,AL,1,63,41,US House,7,gen,FALSE,Joe Powell,republican,FALSE,52142,192113,20171005
2008,Alabama,AL,1,63,41,US House,7,gen,FALSE,Artur Davis,democrat,FALSE,228518,231701,20171005
2008,Alabama,AL,1,63,41,US House,4,gen,FALSE,,,TRUE,349,263167,20171005
2000,Alabama,AL,1,63,41,US House,4,gen,FALSE,Marsha Folsom,democrat,FALSE,86400,231106,20171005
2014,Alabama,AL,1,63,41,US House,2,gen,FALSE,Erick Wright,democrat,FALSE,54692,167952,20171005
2012,Alabama,AL,1,63,41,US House,2,gen,FALSE,Therese Ford,democrat,FALSE,103092,283953,20171005
1990,Alabama,AL,1,63,41,US House,1,gen,FALSE,Sonny Callahan,republican,FALSE,82185,82530,20171005
2006,Alabama,AL,1,63,41,US House,7,gen,FALSE,Artur Davis,democrat,FALSE,133870,135164,20171005
1978,Alabama,AL,1,63,41,US House,2,gen,FALSE,"William L. \Bill\"" Dickinson""",republican,FALSE,57924,107265,20171005
2006,Alabama,AL,1,63,41,US House,3,gen,FALSE,Greg A. Pierce,democrat,FALSE,63559,165301,20171005
1976,Alabama,AL,1,63,41,US House,2,gen,FALSE,,,TRUE,5,156362,20171005
1994,Alabama,AL,1,63,41,US House,2,gen,FALSE,Brian Dowling,democrat,FALSE,44694,169213,20171005
2014,Alabama,AL,1,63,41,US House,2,gen,FALSE,,,TRUE,157,167952,20171005
1986,Alabama,AL,1,63,41,US House,7,gen,FALSE,Bill McFarland,republican,FALSE,72777,180903,20171005
1976,Alabama,AL,1,63,41,US House,6,gen,FALSE,Billy E. Dorsey,national democrat,FALSE,1021,162518,20171005
2008,Alabama,AL,1,63,41,US House,3,gen,FALSE,,,TRUE,332,264120,20171005
1986,Alabama,AL,1,63,41,US House,4,gen,FALSE,Al DeShazo,republican,FALSE,38588,171469,20171005
1992,Alabama,AL,1,63,41,US House,3,gen,FALSE,Glen Browder,democrat,FALSE,119175,197604,20171005
1984,Alabama,AL,1,63,41,US House,6,gen,FALSE,"J. T. \Jabo\"" Waggoner""",republican,FALSE,87550,219710,20171005
2012,Alabama,AL,1,63,41,US House,4,gen,FALSE,,,TRUE,341,269118,20171005
1988,Alabama,AL,1,63,41,US House,6,gen,FALSE,,,TRUE,226,209026,20171005
2006,Alabama,AL,1,63,41,US House,1,gen,FALSE,,,TRUE,127,165841,20171005
1996,Alabama,AL,1,63,41,US House,3,gen,FALSE,,,TRUE,51,195047,20171005
1992,Alabama,AL,1,63,41,US House,7,gen,FALSE,James Chambliss,independent,FALSE,11466,207773,20171005
1992,Alabama,AL,1,63,41,US House,7,gen,FALSE,John Hawkins,socialist workers,FALSE,1165,207773,20171005
1992,Alabama,AL,1,63,41,US House,5,gen,FALSE,Terry Smith,republican,FALSE,77951,244133,20171005
1988,Alabama,AL,1,63,41,US House,6,gen,FALSE,William Wingo,libertarian,FALSE,1092,209026,20171005
